dataset,horizon,fold,model,MAE,RMSE,R2,n,threshold,n_events,TP,FP,FN,TN,precision,recall,f1,false_alarm_rate
ETTh1,24,fold1,Persistence,2.4939941097050906,3.2807165303545096,0.5441592246554229,2880,19.32736396115687,292,139,122,153,2466,0.5325670498084292,0.476027397260274,0.5027124773960218,0.04714064914992272
ETTh1,24,fold1,LGBM q=0.5,1.7127399941486015,2.250018523343714,0.7855885648436142,2880,19.32736396115687,292,141,57,151,2531,0.7121212121212122,0.4828767123287671,0.5755102040816326,0.022024729520865535
ETTh1,24,fold1,LGBM q=0.7,1.7244874650632132,2.292566076211328,0.7774029111422056,2880,19.32736396115687,292,163,79,129,2509,0.6735537190082644,0.5582191780821918,0.6104868913857677,0.030525502318392583
ETTh1,24,fold1,LGBM q=0.8,1.917498393301648,2.5516198406542894,0.7242549673297023,2880,19.32736396115687,292,223,194,69,2394,0.5347721822541966,0.7636986301369864,0.6290550070521862,0.07496136012364761
ETTh1,24,fold1,LGBM q=0.9,2.9606362024617736,3.689231441574403,0.4235686939479155,2880,19.32736396115687,292,272,572,20,2016,0.3222748815165877,0.9315068493150684,0.4788732394366197,0.22102009273570325
ETTh1,24,fold2,Persistence,1.958558390700752,2.6840211519413972,0.7089843168136268,2928,20.83406642072839,170,77,73,93,2685,0.5133333333333333,0.45294117647058824,0.48124999999999996,0.026468455402465556
ETTh1,24,fold2,LGBM q=0.5,1.4177102110522297,1.858055831364488,0.8605360230179647,2928,20.83406642072839,170,76,46,94,2712,0.6229508196721312,0.4470588235294118,0.5205479452054794,0.016678752719361856
ETTh1,24,fold2,LGBM q=0.7,1.5276918222158724,2.01789196088372,0.8355096796319703,2928,20.83406642072839,170,105,93,65,2665,0.5303030303030303,0.6176470588235294,0.5706521739130435,0.0337200870195794
ETTh1,24,fold2,LGBM q=0.8,1.7156219450682038,2.24518459789478,0.7963667771835307,2928,20.83406642072839,170,122,136,48,2622,0.4728682170542636,0.7176470588235294,0.5700934579439252,0.049311094996374184
ETTh1,24,fold2,LGBM q=0.9,2.195646354677287,2.7800676238954547,0.6877839346538076,2928,20.83406642072839,170,150,232,20,2526,0.39267015706806285,0.8823529411764706,0.5434782608695652,0.08411892675852067
ETTh1,24,fold3,Persistence,1.533194788305094,1.96831536997698,0.5488182136238842,2952,8.875222952684089,87,20,64,67,2801,0.23809523809523808,0.22988505747126436,0.23391812865497075,0.022338568935427575
ETTh1,24,fold3,LGBM q=0.5,1.1615649433452933,1.454227294469749,0.7537213437858763,2952,8.875222952684089,87,50,90,37,2775,0.35714285714285715,0.5747126436781609,0.44052863436123346,0.031413612565445025
ETTh1,24,fold3,LGBM q=0.7,1.6027192219271615,1.9391574944587981,0.5620864756690044,2952,8.875222952684089,87,67,199,20,2666,0.2518796992481203,0.7701149425287356,0.37960339943342775,0.06945898778359512
ETTh1,24,fold3,LGBM q=0.8,1.9273038505111324,2.2649327330801063,0.4025895590683958,2952,8.875222952684089,87,76,351,11,2514,0.17798594847775176,0.8735632183908046,0.29571984435797666,0.1225130890052356
